id,query_file,category_id,query_name,table_name,reference_count,select_count,created_at
225,crm_customer.sql,crm_customer,unnamed,sales,1,1,2026-07-08 06:04:21
226,crm_customer.sql,crm_customer,unnamed,customer_address,1,1,2026-07-08 06:04:21
227,crm_customer.sql,crm_customer,unnamed,customer,1,1,2026-07-08 06:04:21
228,customer_order.sql,customer_order,unnamed,production_schedule,1,1,2026-07-08 06:04:21
230,customer_order.sql,customer_order,unnamed,daily_deliveries,1,1,2026-07-08 06:04:21
232,customer_order.sql,customer_order,unnamed,product_defects,1,1,2026-07-08 06:04:21
233,customer_order.sql,customer_order,unnamed,product_lines,1,1,2026-07-08 06:04:21
234,delivery_performance_perspectives.sql,delivery_performance_perspectives,unnamed,daily_deliveries,3,3,2026-07-08 06:04:21
235,delivery_performance_perspectives.sql,delivery_performance_perspectives,unnamed,suppliers,1,1,2026-07-08 06:04:21
236,equipment_reliability.sql,equipment_reliability,unnamed,equipment_metrics,2,2,2026-07-08 06:04:21
237,equipment_reliability.sql,equipment_reliability,unnamed,downtime_events,1,1,2026-07-08 06:04:21
238,equipment_reliability.sql,equipment_reliability,unnamed,failure_events,1,1,2026-07-08 06:04:21
239,production_analytics.sql,production_analytics,unnamed,production_schedule,2,2,2026-07-08 06:04:21
240,production_analytics.sql,production_analytics,unnamed,production_lines,1,1,2026-07-08 06:04:21
241,production_analytics.sql,production_analytics,unnamed,quality_costs,1,1,2026-07-08 06:04:21
242,quality_control.sql,quality_control,unnamed,product_defects,1,1,2026-07-08 06:04:21
243,quality_control.sql,quality_control,unnamed,non_conformant_materials,3,3,2026-07-08 06:04:21
244,quality_control.sql,quality_control,unnamed,corrective_actions,2,2,2026-07-08 06:04:21
245,quality_control.sql,quality_control,unnamed,quality_incidents,1,1,2026-07-08 06:04:21
246,quality_control.sql,quality_control,unnamed,employee,1,1,2026-07-08 06:04:21
251,receivables.sql,receivables,unnamed,customer_order,2,2,2026-07-08 06:04:21
252,receivables.sql,receivables,unnamed,customer_order_line,1,1,2026-07-08 06:04:21
258,supplier_performance.sql,supplier_performance,unnamed,daily_deliveries,1,1,2026-07-08 06:04:21
259,supplier_performance.sql,supplier_performance,unnamed,product_lines,1,1,2026-07-08 06:04:21
264,supplier_performance.sql,supplier_performance,unnamed,receiving,2,2,2026-07-08 06:04:21
265,supplier_performance.sql,supplier_performance,unnamed,purchase_order,2,2,2026-07-08 06:04:21
266,supplier_performance.sql,supplier_performance,unnamed,suppliers,3,3,2026-07-08 06:04:21
267,supplier_performance.sql,supplier_performance,unnamed,receiving_line,2,2,2026-07-08 06:04:21
268,supplier_performance.sql,supplier_performance,unnamed,payable_line,3,3,2026-07-08 06:04:21
269,supplier_performance.sql,supplier_performance,unnamed,payables,4,4,2026-07-08 06:04:21
270,supplier_performance.sql,supplier_performance,unnamed,po_line,1,1,2026-07-08 06:04:21
21546,inventory_reorderpoint_20260703_000001.sql,inventory_reorderpoint_20260703_000001,REORDERPOINT,part,1,1,2026-07-26 00:46:15
21547,inventory_onhandquantity_20260703_000002.sql,inventory_onhandquantity_20260703_000002,ONHANDQUANTITY,part,1,1,2026-07-26 00:46:15
21548,inventory_leadtime_20260703_000003.sql,inventory_leadtime_20260703_000003,LEADTIME,part,1,1,2026-07-26 00:46:15
21549,inventory_atp_20260703_000004.sql,inventory_atp_20260703_000004,AVAILABLETOPROMISE,part,1,1,2026-07-26 00:46:15
21550,inventory_atp_20260703_000004.sql,inventory_atp_20260703_000004,AVAILABLETOPROMISE,customer_order_line,1,1,2026-07-26 00:46:15
21551,inventory_atp_20260703_000004.sql,inventory_atp_20260703_000004,AVAILABLETOPROMISE,customer_order,1,1,2026-07-26 00:46:15
21552,inventory_atp_20260703_000004.sql,inventory_atp_20260703_000004,AVAILABLETOPROMISE,work_order,2,2,2026-07-26 00:46:15
21553,inventory_atp_20260703_000004.sql,inventory_atp_20260703_000004,AVAILABLETOPROMISE,po_line,1,1,2026-07-26 00:46:15
21554,inventory_atp_20260703_000004.sql,inventory_atp_20260703_000004,AVAILABLETOPROMISE,purchase_order,1,1,2026-07-26 00:46:15
21555,inventory_allocated_20260703_000005.sql,inventory_allocated_20260703_000005,ALLOCATEDQUANTITY,customer_order_line,1,1,2026-07-26 00:46:15
21556,inventory_allocated_20260703_000005.sql,inventory_allocated_20260703_000005,ALLOCATEDQUANTITY,customer_order,1,1,2026-07-26 00:46:15
21557,inventory_allocated_20260703_000005.sql,inventory_allocated_20260703_000005,ALLOCATEDQUANTITY,part,1,1,2026-07-26 00:46:15
21558,suppliers_supplierscorecard_20260601_000001.sql,suppliers_supplierscorecard_20260601_000001,DELIVERYPERFORMANCESUPPLIER,suppliers,1,1,2026-07-26 00:46:15
21559,suppliers_outsideservicesuppliers_20260601_000002.sql,suppliers_outsideservicesuppliers_20260601_000002,DELIVERYPERFORMANCESUPPLIER,suppliers,1,1,2026-07-26 00:46:15
21560,operations_workorderstatus_20260601_000003.sql,operations_workorderstatus_20260601_000003,ORDERLIFECYCLESTATE,work_order,1,1,2026-07-26 00:46:15
21561,operations_workordercostdetail_20260601_000004.sql,operations_workordercostdetail_20260601_000004,ORDERLIFECYCLESTATE,work_order,1,1,2026-07-26 00:46:15
21562,payables_purchaseorderstatus_20260601_000005.sql,payables_purchaseorderstatus_20260601_000005,ORDERACCOUNTINGSTATE,purchase_order,1,1,2026-07-26 00:46:15
21563,payables_purchaseorderstatus_20260601_000005.sql,payables_purchaseorderstatus_20260601_000005,ORDERACCOUNTINGSTATE,suppliers,1,1,2026-07-26 00:46:15
21564,payables_openpobysupp_20260601_000006.sql,payables_openpobysupp_20260601_000006,DELIVERYPERFORMANCEFINANCE,purchase_order,1,1,2026-07-26 00:46:15
21565,payables_openpobysupp_20260601_000006.sql,payables_openpobysupp_20260601_000006,DELIVERYPERFORMANCEFINANCE,suppliers,1,1,2026-07-26 00:46:15
21566,operations_oeeoperational_20260604_000007.sql,operations_oeeoperational_20260604_000007,OEEOPERATIONAL,shop_resource,1,1,2026-07-26 00:46:15
21567,operations_oeeoperational_20260604_000007.sql,operations_oeeoperational_20260604_000007,OEEOPERATIONAL,operation,1,1,2026-07-26 00:46:15
21568,operations_oeestrategic_20260604_000008.sql,operations_oeestrategic_20260604_000008,OEESTRATEGIC,shop_resource,1,1,2026-07-26 00:46:15
21569,operations_oeestrategic_20260604_000008.sql,operations_oeestrategic_20260604_000008,OEESTRATEGIC,operation,1,1,2026-07-26 00:46:15
21570,operations_equipmentstatemaintenance_20260604_000009.sql,operations_equipmentstatemaintenance_20260604_000009,EQUIPMENTSTATEMAINTENANCE,shop_resource,1,1,2026-07-26 00:46:15
21571,operations_equipmentstatemaintenance_20260604_000009.sql,operations_equipmentstatemaintenance_20260604_000009,EQUIPMENTSTATEMAINTENANCE,operation,1,1,2026-07-26 00:46:15
21572,operations_equipmentstatecompliance_20260604_000010.sql,operations_equipmentstatecompliance_20260604_000010,EQUIPMENTSTATECOMPLIANCE,shop_resource,1,1,2026-07-26 00:46:15
21573,operations_equipmentstatecompliance_20260604_000010.sql,operations_equipmentstatecompliance_20260604_000010,EQUIPMENTSTATECOMPLIANCE,operation,1,1,2026-07-26 00:46:15
21574,operations_equipmentstatecompliance_20260604_000010.sql,operations_equipmentstatecompliance_20260604_000010,EQUIPMENTSTATECOMPLIANCE,work_order,1,1,2026-07-26 00:46:15
21575,operations_equipmentstatecompliance_20260604_000010.sql,operations_equipmentstatecompliance_20260604_000010,EQUIPMENTSTATECOMPLIANCE,receiving,1,1,2026-07-26 00:46:15
21576,operations_equipmentstatecompliance_20260604_000010.sql,operations_equipmentstatecompliance_20260604_000010,EQUIPMENTSTATECOMPLIANCE,certification,1,1,2026-07-26 00:46:15
21577,operations_equipmentstateproduction_20260604_000011.sql,operations_equipmentstateproduction_20260604_000011,EQUIPMENTSTATEPRODUCTION,shop_resource,1,1,2026-07-26 00:46:15
21578,operations_equipmentstateproduction_20260604_000011.sql,operations_equipmentstateproduction_20260604_000011,EQUIPMENTSTATEPRODUCTION,operation,1,1,2026-07-26 00:46:15
21579,operations_equipmentstateproduction_20260604_000011.sql,operations_equipmentstateproduction_20260604_000011,EQUIPMENTSTATEPRODUCTION,work_order,1,1,2026-07-26 00:46:15
21580,sales_ordercustomerstate_20260604_000012.sql,sales_ordercustomerstate_20260604_000012,ORDERCUSTOMERSTATE,work_order,1,1,2026-07-26 00:46:15
21581,operations_deliveryperformanceops_20260604_000013.sql,operations_deliveryperformanceops_20260604_000013,DELIVERYPERFORMANCEOPS,purchase_order,1,1,2026-07-26 00:46:15
21582,operations_deliveryperformanceops_20260604_000013.sql,operations_deliveryperformanceops_20260604_000013,DELIVERYPERFORMANCEOPS,receiving,1,1,2026-07-26 00:46:15
21583,operations_deliveryperformanceops_20260604_000013.sql,operations_deliveryperformanceops_20260604_000013,DELIVERYPERFORMANCEOPS,suppliers,1,1,2026-07-26 00:46:15
21584,inventory_safetystock_20260703_000006.sql,inventory_safetystock_20260703_000006,SAFETYSTOCK,part,1,1,2026-07-26 00:46:15
21585,inventory_safetystock_20260703_000006.sql,inventory_safetystock_20260703_000006,SAFETYSTOCK,customer_order_line,1,1,2026-07-26 00:46:15
21586,inventory_safetystock_20260703_000006.sql,inventory_safetystock_20260703_000006,SAFETYSTOCK,customer_order,1,1,2026-07-26 00:46:15
21587,inventory_safetystock_20260703_000006.sql,inventory_safetystock_20260703_000006,SAFETYSTOCK,work_order,2,2,2026-07-26 00:46:15
21588,inventory_leadtimedemand_20260703_000007.sql,inventory_leadtimedemand_20260703_000007,LEADTIMEDEMAND,part,1,1,2026-07-26 00:46:15
21589,inventory_leadtimedemand_20260703_000007.sql,inventory_leadtimedemand_20260703_000007,LEADTIMEDEMAND,customer_order_line,1,1,2026-07-26 00:46:15
21590,inventory_leadtimedemand_20260703_000007.sql,inventory_leadtimedemand_20260703_000007,LEADTIMEDEMAND,customer_order,1,1,2026-07-26 00:46:15
21591,inventory_leadtimedemand_20260703_000007.sql,inventory_leadtimedemand_20260703_000007,LEADTIMEDEMAND,work_order,2,2,2026-07-26 00:46:15
21592,inventory_minimumstock_20260703_000008.sql,inventory_minimumstock_20260703_000008,MINIMUMSTOCKQUANTITY,part,1,1,2026-07-26 00:46:15
21593,inventory_maximumstock_20260703_000009.sql,inventory_maximumstock_20260703_000009,MAXIMUMSTOCKQUANTITY,part,1,1,2026-07-26 00:46:15
21594,inventory_maximumstock_20260703_000009.sql,inventory_maximumstock_20260703_000009,MAXIMUMSTOCKQUANTITY,po_line,1,1,2026-07-26 00:46:15
21595,inventory_maximumstock_20260703_000009.sql,inventory_maximumstock_20260703_000009,MAXIMUMSTOCKQUANTITY,purchase_order,1,1,2026-07-26 00:46:15
21596,inventory_eoq_20260703_000010.sql,inventory_eoq_20260703_000010,ECONOMICORDERQUANTITY,part,1,1,2026-07-26 00:46:15
21597,inventory_eoq_20260703_000010.sql,inventory_eoq_20260703_000010,ECONOMICORDERQUANTITY,po_line,1,1,2026-07-26 00:46:15
21598,inventory_eoq_20260703_000010.sql,inventory_eoq_20260703_000010,ECONOMICORDERQUANTITY,purchase_order,1,1,2026-07-26 00:46:15
21599,payables_ordersreceived_20260706_000001.sql,payables_ordersreceived_20260706_000001,ORDERSRECEIVED,purchase_order,1,1,2026-07-26 00:46:15
21600,payables_ordersreceived_20260706_000001.sql,payables_ordersreceived_20260706_000001,ORDERSRECEIVED,po_line,1,1,2026-07-26 00:46:15
21601,payables_ordersreceived_20260706_000001.sql,payables_ordersreceived_20260706_000001,ORDERSRECEIVED,receiving_line,1,1,2026-07-26 00:46:15
21602,payables_ordersreceived_20260706_000001.sql,payables_ordersreceived_20260706_000001,ORDERSRECEIVED,receiving,1,1,2026-07-26 00:46:15
21603,payables_ordersunreceived_20260706_000002.sql,payables_ordersunreceived_20260706_000002,ORDERSUNRECEIVED,purchase_order,1,1,2026-07-26 00:46:15
21604,payables_ordersunreceived_20260706_000002.sql,payables_ordersunreceived_20260706_000002,ORDERSUNRECEIVED,po_line,1,1,2026-07-26 00:46:15
