ticket_id,wo_id,sequence_no,employee_id,resource_id,clock_in,clock_out,total_hours,labor_cost,burden_cost,created_at
1,WO-00003,10,EMP-005,LB-005,2025-06-29 08:00:00,2025-06-29 08:58:48,0.98,56.94,28.42,2025-06-29 08:58:48
2,WO-00003,330,EMP-007,MC-002,2025-10-09 08:00:00,2025-10-09 08:08:24,0.14,28.47,14.7,2025-10-09 08:08:24
3,WO-00003,390,EMP-004,LB-004,2025-11-11 08:00:00,2025-11-11 08:15:36,0.26,14.24,7.15,2025-11-11 08:15:36
4,WO-00005,20,EMP-006,MC-001,2025-11-18 08:00:00,2025-11-18 08:08:24,0.14,25.54,13.3,2025-11-18 08:08:24
5,WO-00005,100,EMP-012,MC-007,2025-12-02 08:00:00,2025-12-02 08:07:48,0.13,12.77,6.24,2025-12-02 08:07:48
6,WO-00005,200,EMP-004,LB-004,2025-12-26 08:00:00,2025-12-26 08:13:48,0.23,12.76,6.33,2025-12-26 08:13:48
7,WO-00008,20,EMP-010,MC-005,2025-11-16 08:00:00,2025-11-16 08:02:24,0.04,5.29,2.88,2025-11-16 08:02:24
8,WO-00008,100,EMP-004,LB-004,2025-12-08 08:00:00,2025-12-08 08:06:00,0.1,5.3,2.75,2025-12-08 08:06:00
9,WO-00009,20,EMP-008,MC-003,2025-02-20 08:00:00,2025-02-20 08:17:24,0.29,56.12,29.0,2025-02-20 08:17:24
10,WO-00009,60,EMP-003,LB-003,2025-04-18 08:00:00,2025-04-18 10:20:24,2.34,112.24,56.16,2025-04-18 10:20:24
11,WO-00009,300,EMP-004,LB-004,2025-10-02 08:00:00,2025-10-02 08:30:36,0.51,28.06,14.03,2025-10-02 08:30:36
12,WO-00010,30,EMP-006,MC-001,2024-02-25 08:00:00,2024-02-25 08:09:00,0.15,27.2,14.25,2024-02-25 08:09:00
13,WO-00010,70,EMP-012,MC-007,2024-07-15 08:00:00,2024-07-15 08:08:24,0.14,13.6,6.72,2024-07-15 08:08:24
14,WO-00010,150,EMP-004,LB-004,2025-04-19 08:00:00,2025-04-19 08:15:00,0.25,13.59,6.88,2025-04-19 08:15:00
15,WO-00015,10,EMP-005,LB-005,2025-07-23 08:00:00,2025-07-23 08:51:36,0.86,50.03,24.94,2025-07-23 08:51:36
16,WO-00015,150,EMP-007,MC-002,2025-10-22 08:00:00,2025-10-22 08:07:12,0.12,25.02,12.6,2025-10-22 08:07:12
17,WO-00015,170,EMP-004,LB-004,2025-11-21 08:00:00,2025-11-21 08:13:48,0.23,12.51,6.33,2025-11-21 08:13:48
18,WO-JUL-01,30,EMP-006,MC-001,2026-07-01 08:00:00,2026-07-01 08:58:12,0.97,178.68,92.15,2026-07-01 08:58:12
19,WO-JUL-02,30,EMP-006,MC-001,2026-07-01 08:00:00,2026-07-01 09:00:00,1.0,185.08,95.0,2026-07-01 09:00:00
20,WO-JUL-03,10,EMP-006,MC-001,2026-07-01 08:00:00,2026-07-01 09:06:00,1.1,203.68,104.5,2026-07-01 09:06:00
21,WO-JUL-04,30,EMP-006,MC-001,2026-07-01 08:00:00,2026-07-01 09:09:36,1.16,214.03,110.2,2026-07-01 09:09:36
22,WO-JUL-05,30,EMP-006,MC-001,2026-07-01 08:00:00,2026-07-01 09:12:36,1.21,223.75,114.95,2026-07-01 09:12:36
23,WO-JUL-06,30,EMP-006,MC-001,2026-07-01 08:00:00,2026-07-01 09:16:48,1.28,237.14,121.6,2026-07-01 09:16:48
24,WO-JUL-07,20,EMP-006,MC-001,2026-07-01 08:00:00,2026-07-01 09:16:48,1.28,236.36,121.6,2026-07-01 09:16:48
25,WO-JUL-08,10,EMP-006,MC-001,2026-07-01 08:00:00,2026-07-01 09:28:48,1.48,273.92,140.6,2026-07-01 09:28:48
26,WO-JUL-09,30,EMP-006,MC-001,2026-07-02 08:00:00,2026-07-02 09:34:48,1.58,292.66,150.1,2026-07-02 09:34:48
27,WO-JUL-10,30,EMP-006,MC-001,2026-07-03 08:00:00,2026-07-03 09:39:36,1.66,306.2,157.7,2026-07-03 09:39:36
28,WO-JUL-11,30,EMP-006,MC-001,2026-07-04 08:00:00,2026-07-04 09:35:24,1.59,293.51,151.05,2026-07-04 09:35:24
29,WO-JUL-12,30,EMP-006,MC-001,2026-07-05 08:00:00,2026-07-05 09:44:24,1.74,321.97,165.3,2026-07-05 09:44:24
30,WO-JUL-13,20,EMP-006,MC-001,2026-07-06 08:00:00,2026-07-06 09:42:36,1.71,317.0,162.45,2026-07-06 09:42:36
31,WO-JUL-14,30,EMP-006,MC-001,2026-07-07 08:00:00,2026-07-07 09:51:00,1.85,341.38,175.75,2026-07-07 09:51:00
32,WO-JUL-15,30,EMP-006,MC-001,2026-07-08 08:00:00,2026-07-08 09:51:36,1.86,344.27,176.7,2026-07-08 09:51:36
33,WO-JUL-16,30,EMP-006,MC-001,2026-07-09 08:00:00,2026-07-09 09:58:12,1.97,365.19,187.15,2026-07-09 09:58:12
34,WO-JUL-17,30,EMP-006,MC-001,2026-07-10 08:00:00,2026-07-10 10:06:00,2.1,388.78,199.5,2026-07-10 10:06:00
35,WO-JUL-18,10,EMP-006,MC-001,2026-07-11 08:00:00,2026-07-11 09:57:00,1.95,359.88,185.25,2026-07-11 09:57:00
36,WO-JUL-19,20,EMP-006,MC-001,2026-07-12 08:00:00,2026-07-12 10:19:12,2.32,429.87,220.4,2026-07-12 10:19:12
37,WO-JUL-20,20,EMP-006,MC-001,2026-07-13 08:00:00,2026-07-13 10:20:24,2.34,432.98,222.3,2026-07-13 10:20:24
38,WO-JUL-21,20,EMP-006,MC-001,2026-07-14 08:00:00,2026-07-14 10:15:36,2.26,417.4,214.7,2026-07-14 10:15:36
39,WO-JUL-22,10,EMP-006,MC-001,2026-07-15 08:00:00,2026-07-15 10:08:24,2.14,394.99,203.3,2026-07-15 10:08:24
40,WO-JUL-23,20,EMP-006,MC-001,2026-07-16 08:00:00,2026-07-16 10:33:36,2.56,472.88,243.2,2026-07-16 10:33:36
41,WO-JUL-24,10,EMP-006,MC-001,2026-07-17 08:00:00,2026-07-17 10:19:12,2.32,428.34,220.4,2026-07-17 10:19:12
42,WO-JUL-25,20,EMP-006,MC-001,2026-07-18 08:00:00,2026-07-18 10:30:36,2.51,464.9,238.45,2026-07-18 10:30:36
43,WO-JUL-26,20,EMP-006,MC-001,2026-07-19 08:00:00,2026-07-19 10:30:00,2.5,462.27,237.5,2026-07-19 10:30:00
44,WO-JUL-27,30,EMP-006,MC-001,2026-07-20 08:00:00,2026-07-20 10:44:24,2.74,506.48,260.3,2026-07-20 10:44:24
45,WO-JUL-28,30,EMP-006,MC-001,2026-07-21 08:00:00,2026-07-21 10:45:36,2.76,510.28,262.2,2026-07-21 10:45:36
46,WO-JUL-29,10,EMP-006,MC-001,2026-07-22 08:00:00,2026-07-22 10:37:12,2.62,483.94,248.9,2026-07-22 10:37:12
47,WO-JUL-30,10,EMP-006,MC-001,2026-07-23 08:00:00,2026-07-23 10:36:36,2.61,483.12,247.95,2026-07-23 10:36:36
48,WO-JUL-31,20,EMP-006,MC-001,2026-07-24 08:00:00,2026-07-24 10:50:24,2.84,525.46,269.8,2026-07-24 10:50:24
49,WO-MRP-003,30,EMP-006,MC-001,2026-01-01 08:00:00,2026-01-01 08:08:24,0.14,26.67,13.3,2026-01-01 08:08:24
50,WO-MRP-003,70,EMP-012,MC-007,2026-03-09 08:00:00,2026-03-09 08:08:24,0.14,13.33,6.72,2026-03-09 08:08:24
